EDR#,CIL#,Varone #,Langner #,Regio.Insula.Door ,Text of Inscription ,Caption for graffito,Translation,Commentary ,AGP = Update of CIL?,Contributors,,,,,,,,,,,
EDR167048,2428,,,North,,Graffito naming C. Ovius,Gaius Ovius,,,,,,,,,,,,,,
EDR167049,2429,,,North,,Graffito mentioning Faustus,Faustus (...other letters here),,,,,,,,,,,,,,
EDR167110,2435,,,North,,Roman Numerals,(series of numbers),,,,,,,,,,,,,,
EDR167113,2435,a,,North,,Roman numerals,"""425"" ""25"" ""175"" ""250"" ""800""",,,,,,,,,,,,,,
EDR167575,2432,,,North,,Graffito naming Alexandros,Alexandros,,,,,,,,,,,,,,
EDR167186,2430,,,North,,Graffito mentioning Nuelas and Barnaeus,"Oh supervisors Nuelas and Barnaeus, you should have been good men. If supplies (incomprehensible series of letters) you were giving at the time. For you always deny (incomprehensible series of letters) Pan for you (incomprehensible series of letters) now (incomprehensible series of letters) whether",,,,,,,,,,,,,,
EDR167717,2439,,,North,,Graffito naming Dasius,"Dasius ""1""",,,,,,,,,,,,,,
EDR168048,2457,,,South,,Statement about love,"Methe, a slave of Cominia, from the town of Atella, loves Chrestus. May Pompeian Venus be propitious in her heart to them both and may they always live harmoniously.",,,,,,,,,,,,,,
EDR168004,2454,a,,South,,Graffito naming Nicedius,Nicedius,,,,,,,,,,,,,,
EDR168005,2455,,,South,,Graffito about Petilius Syrus and Marcus Faustus Silo,"6 days before the Kalends of November Petilius Syrus presented distinctions to Marcus Fastus Silo, for the sake of honor, freedman of Syrus",,,,,,,,,,,,,,
EDR168057,2456,,,South,,Graffito,(incomprehensible series of letters),,,,,,,,,,,,,,
EDR167898,2451,,,South,,"List of names, list of Roman numerals","〈:columna 1〉
 Virotal? ""150""
 Valerius ""25""
 Ammonius ""75""
 Servilius ""100""
 Marcus ""50""
 Sequanus ""75""
 Sedulatus ""25""
 Viriodal? ""75""
 (incomprehensible series of letters) ""50""
 (incomprehensible series of letters) ""70""
 
 〈:columna 2〉
 Sextius ""100""
 Viriotal? ""150""
 Valerius ""75""
 Valerius ""75""",,,,,,,,,,,,,,
EDR167912,2451,nota,,South,,Series of letters,RR,,,,,,,,,,,,,,
EDR167913,2452,,,South,,Graffito,Pier (a name),,,,,,,,,,,,,,
EDR167821,2443,,,South,,Graffito naming Epaphrodite,Oh Epaphroditus... (unknown word or part of word),,,,,,,,,,,,,,
EDR167820,2442,b,,South,,Erotic graffiti,I bugger (incomprehensible series of letters),,,,,,,,,,,,,,
EDR167817,2441,,,South,,List of Roman numerals,"""300"" ""100""
 ""175""
 ""175""
 ""100""",,,,,,,,,,,,,,
EDR167818,2442,,,South,,Graffito naming Faustus,Faustus,,,,,,,,,,,,,,
EDR167819,2442,a,,South,,Graffito,"(incomprehensible series of letters) who to be (incomprehensible series of letters) why ""30""",,,,,,,,,,,,,,
EDR167540,2426,a,,South,,"List of names, list of Roman numerals","Servilius ""50""
 Ammonius ""75""
 Valerius ""25""
 Vetius ""150""
 Julius ""75""
 Lucius Plotius ""100""
 Sextus ""50""",,,,,,,,,,,,,,
EDR166496,2417,,,North,,Inventory of nails,87 nails,,,,,,,,,,,,,,
EDR167914,2453,,,South,,Graffito,(incomprehensible series of characters),,,,,,,,,,,,,,
EDR166616,2422,,,North,,Greetings to Russa,"Farewell, Russa! (incomprehensible series of letters)",,,,,,,,,,,,,,
EDR167551,3201,a,,South,,Graffito in Greek,Love,,,,,,,,,,,,,,
EDR167546,3202,,,North,,Erotic graffito,Lucrio buggers.,,,,,,,,,,,,,,
EDR167050,2431,,,North,,Graffito mentioning Mucius,O(---?) Mucius,,,,,,,,,,,,,,
EDR167052,2434,,,North,,Graffito naming Gaius Ovius,Gaius Ovius,,,,,,,,,,,,,,
EDR167114,2436,,,North,,Graffito naming Blastus,Blastus,,,,,,,,,,,,,,
EDR167115,2437,,,North,,Graffito mentioning names and a consular date,"Gaius Alleius Astragalus was supervisor from 4 days before the Nones of December until 6 days before the Ides of December, in the yearMarcus Agrippa and Titus Statilius were consuls (incomprehensible series of letters) the squadron of Gaius Julius Helenus (and?) Gaius Julius Hilarus",,,,,,,,,,,,,,
EDR167835,2444,,,South,,Graffito mentioning Faustus,Faustus (incomprehensible series of letters),,,,,,,,,,,,,,
EDR167836,2444,nota,,,,Series of Greek letters,(incomprehensible series of Greek letters),,,,,,,,,,,,,,
EDR167837,2445,,,South,,Curse,(incomprehensible series of letters) I cursed the villagers. I call you as a witness.,,,,,,,,,,,,,,
EDR167552,2446,,,South,,Graffito in Greek,Love,,,,,,,,,,,,,,
EDR167573,2446,nota,,South,,Series of letters,(incomprehensible series of letters),,,,,,,,,,,,,,
EDR167551,3201,a,,,,Graffito in Greek,Love,,,,,,,,,,,,,,
EDR167860,2447,,,South,,Erotic Graffito,(incomprehensible series of letters) I bugger (incomprehensible series of letters),,,,,,,,,,,,,,
EDR167861,2447,nota,,South,,Tally marks,"""3"" ""6""",,,,,,,,,,,,,,
EDR167862,2448,,,South,,Graffito naming Stellio,Stellio,,,,,,,,,,,,,,
EDR167863,2449,,,South,,Graffito naming Acastus,Acastus,,,,,,,,,,,,,,
EDR167897,3203,,,,,Series of characters,(incomprehensible series of characters),,,,,,,,,,,,,,
EDR167662,3204,,,South,,Graffito naming Fadius Nasso,Fadius Nasso,,,,,,,,,,,,,,
EDR167915,2454,,,South,,Graffito naming Lucius Postumius,Lucius Postumius (…?) of Lucius,,,,,,,,,,,,,,
EDR168139,4963,,,,,Graffito mentioning Paris,(incomprehensible series of letters) Paris (incomprehensible series of letters),,,,,,,,,,,,,,
EDR168194,2427,nota (numerals),,North,,Roman numerals,"""42"" ""43"" ""42"" ""42"" ""70""",,,,,,,,,,,,,,
EDR167715,2438,,,North,,Graffito mentioning a date,Three days before the Kalends of November,,,,,,,,,,,,,,
EDR167716,2438,nota,,North,,Series of letters,(incomprehensible series of letters),,,,,,,,,,,,,,
EDR167718,2440,,,North,,Graffito mentioning a date and money,11 days before the Kalends of December three-bodied Geryon claimed (?) six asses,,,,,,,,,,,,,,
EDR167788,2450,,,South,,Erotic graffito,"11 days before the Kalends of December, Epaphra, Acutus, and Auctus took the woman Tyche to (this?) place for 15 asses. The price was (?) 5 asses each. (Written) in the year when Marcus Messalla and Lucius Lentulus were consuls.",,,,,,,,,,,,,,
EDR168148,,,,North,,Graffito in Safaitic,(Written) by ʾtbt,,,,,,,,,,,,,,
EDR168149,,,,North,,Graffito in Safaitic,(Written) by (incomprehensible series of letters),,,,,,,,,,,,,,
EDR168152,,,,North,,Graffito in Safaitic,(Written) by Tm,,,,,,,,,,,,,,
EDR168154,,,,North,,Graffito in Safaitic,(Written) by (incomprehensible series of letters),,,,,,,,,,,,,,
EDR168156,,,,North,,Graffito in Safaitic,(Written) by s²ms¹grm,,,,,,,,,,,,,,
EDR168166,,,,North,,Graffito in Safaitic,(Written) by Md,,,,,,,,,,,,,,
EDR168167,,,,North,,Graffito in Safaitic,"(Written) by ʾnʿm, son of Kʿz",,,,,,,,,,,,,,
EDR168168,,,,North,,Graffito in Safaitic,(Written) by  ʾs¹lm,,,,,,,,,,,,,,
EDR168178,,,,North,,Graffito in Safaitic,"(Written) by (incomprehensible series of letters), son of Gs²m",,,,,,,,,,,,,,
EDR168180,,,,North,,Graffito in Safaitic,(Written) by  ʾt,,,,,,,,,,,,,,
EDR168059,,,,North,,Graffito in Safaitic,"(Written) by Ṣhb and Hʾ{s¹}ys¹, sons of (incomprehensible series of letters)",,,,,,,,,,,,,,
EDR168236,,,,,,Graffito naming Cloulius,Cloulius,,,,,,,,,,,,,,
